wtc_id,title_en,title_te,english,telugu_chars,english_chars,telugu_stanzas,english_stanzas,author,library_status,url
84,sadaa kalamu neetho nenu,సదా కాలము నీతో నేను జీవించెదను యేసయ్యా,none,846,0,2,0,,in_library_exact,https://waytochurch.com/lyrics/song/84
85,samipincha rani tejassulo,సమీపించరాని తెజేస్సులోనీవు వశియించువాడవయా,none,465,0,0,0,,in_library_fuzzy,https://waytochurch.com/lyrics/song/85
86,sarvakrupa nidi yagu prabhuva,సర్వకృపానిధియగు ప్రభువా సకల చరాచర సంతోషమా,none,420,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/86
87,sagipodhunu nenu aagi ponu nenu,సాగి పోదును ఆగి పోను నేను,none,498,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/87
88,silvalo naakai karchenu,సిల్వలో నాకై కార్చెను యేసు రక్తము,none,751,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/88
89,siluva yende needhu prema,సిలువయందె నీదు ప్రేమ తెలిసికొంటినో ప్రభు,none,245,0,2,0,,missing,https://waytochurch.com/lyrics/song/89
90,srusti kartha yesuni sthutinchedamu,సృష్టికర్త యేసుని స్తుతించెదము సర్వసృష్టియు ప్రభు క్రియలే,none,527,0,3,0,,missing,https://waytochurch.com/lyrics/song/90
91,srustipitha sarvonatha,సృష్టి పితా సర్వో న్నతా సమర్పింతున్ సర్వస్వమున్,none,413,0,4,0,,missing,https://waytochurch.com/lyrics/song/91
92,stotram chellinthumu,స్తోత్రం చెల్లింతుము స్తుతి స్తోత్రం చెల్లింతుము,none,631,0,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/92
93,sri yesu geethi paadana,శ్రీ యేసు గీతి పాడవా ఆ సిల్వ ప్రేమ చాటవా,none,355,0,2,0,,missing,https://waytochurch.com/lyrics/song/93
94,halleluya stuti mahima,హల్లెలూయ స్తుతి మహిమ ఎల్లప్పుడు దేవుని కిచ్చెదము,none,347,0,2,0,,in_library_exact,https://waytochurch.com/lyrics/song/94
95,halleluya yesu prabhun,హల్లెలూయ యేసు ప్రభున్ ఎల్లరు స్తుతియించుడి,none,946,0,5,0,,in_library_exact,https://waytochurch.com/lyrics/song/95
96,halleluya padedha prabhu ninu koniyadedhan fm,హల్లేలూయ పాడెద ప్రభు నిన్ను కొనియాడెదన్,none,544,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/96
107,ayane na sangeetham,ఆయెనె నా సంగీతము బలమైన కోటయును,none,477,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/107
108,abrahamu devuda,అబ్రహాము దేవుడవు ఇస్సాకు దేవుడవు,none,644,0,3,0,,missing,https://waytochurch.com/lyrics/song/108
