id,titleEn,titleTe,author,album,category,ragam,language,posted,url,teluguChars,englishChars
56,neevu nirminchina dhevalayamulo,నీవు నిర్మించిన దేవాలయములో నీతో జత పనివారము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/56,606,0
57,nee swaramu vinipinchu,నీ స్వరము వినిపించు ప్రభువా నీ దాసుడాలకించున్,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/57,536,0
58,neelakasamlona nigikegasina thaara,నీలాకాశంలోన నింగికెగసె తార,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/58,458,0
59,nee siluvalone naa mukthi,నీ శిలువలోనే నా ముక్తీ నీ నీడలోనే నా జీవితం,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/59,563,0
60,neevunte naaku chaalu,నీవుంటే నాకు చాలు యేసయ్యా నీ వెంటే నేను వుంటా నేసయ్యా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/60,971,420
61,nenu papino prabhuva,నే పాపినో ప్రభువా నను కావుమా దేవా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/61,361,0
62,parama jeevamu naaku,పరమ జీవము నాకు నివ్వ తిరిగి లేచెను నాతో నుండ,,,Easter,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/62,519,0
63,parama pavanuda mariya,పరమ పావనుడు మరియ తనయుడు అవతరించెనే శుభ దినాన,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/63,397,0
64,prabhuva ni karyamulu ab,ప్రభువా నీ కార్యములు ఆశ్చర్య కరమైనవి,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/64,784,0
65,padedhamu vededhamu cm,పాడెదము వేడెదము యేసు నామము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/65,323,0
66,pradhana vinedi pavanuda,ప్రార్ధన వినెడి పావనుడా ప్రార్ధన మాకు నేర్పుమయా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/66,538,0
68,mahodayam subhodayam,మహోదయం శుభోదయం సర్వలోకాని కరుణోదయం,,,Christmas,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/68,394,0
69,maranamu gelichina mana prabhuvu,మరణము గెలిచెను మన ప్రభువు – మనుజాళి రక్షణ కోసమూ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/69,520,0
70,mandhalo cherani gorrelenno,మందలో చేరని గొర్రెలెన్నో కోట్ల కొలదిగా కలవు యిల,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/70,449,0
71,yehova na kapari,యెహోవ నా కాపరి యెహోవ నా ఊపిరి నాకు లేమి ఏమి,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/71,427,0
72,yehova ni namamu,యెహోవా నీ నామము ఎంతో బలమైనది,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/72,500,0
73,yesu rakthamu rakthamu,యేసు రక్తము రక్తము రక్తము యేసు రక్తము రక్తము రక్తము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/73,1088,0
74,yehova dhayaludu,యెహోవా దయాళుడు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/74,431,0
75,yesu ni krupalo,యేసు నీ క్రుపలో మము కాపాడుము దేవా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/75,420,0
