wtc_id,wtc_title,verdict,library_song_id,library_song_name,fuzzy_score,url
115,దేవ సంస్తుతి చేయవే మనసా శ్రీమంతుడగు యెహోవ సంస్తుతి,in_library_contained,1450,Deva Samsthuthi Cheyave,,https://waytochurch.com/lyrics/song/115/దేవ-సంస్తుతి-చేయవే-మనసా--శ్రీమంతుడగు-యెహోవ-సంస్తుతి
116,దేవర నీ దీవెనలు ధారళముగను వీరలపై,in_library_exact,1292,Devara Nee Deevenalu,,https://waytochurch.com/lyrics/song/116/దేవర-నీ-దీవెనలు--ధారళముగను-వీరలపై
117,దేవుని స్తుతియించుడి యెల్లాప్పుడు దేవుని స్తతియించుడి ఆ,missing,,,,https://waytochurch.com/lyrics/song/117/దేవుని-స్తుతియించుడి--యెల్లాప్పుడు-దేవుని-స్తతియించుడి-ఆ
118,దేవుని ఉపకారంబులలోన దేనిని మరువకుము,missing,,,,https://waytochurch.com/lyrics/song/118/దేవుని-ఉపకారంబులలోన--దేనిని-మరువకుము
119,దేవుని యందు నిరీక్షణనుంచి ఆయనను స్తుతించు నా ప్రాణమా,in_library_exact,1285,Devuniyandu Nireekshana Nunchi,,https://waytochurch.com/lyrics/song/119/దేవుని-యందు-నిరీక్షణనుంచి--ఆయనను-స్తుతించు-నా-ప్రాణమా
120,దేవునికి స్తోత్రము గానము చేయుటయే మంచిది,in_library_exact,902,Devuniki Sthothramu Gaanamu,,https://waytochurch.com/lyrics/song/120/దేవునికి-స్తోత్రము-గానము--చేయుటయే-మంచిది
121,దూత పాట పాడుడి రక్షకున్ స్తుతించుడి ఆ ప్రభుండు,in_library_contained,538,Dootha Paata Paadudi,,https://waytochurch.com/lyrics/song/121/దూత-పాట-పాడుడి-రక్షకున్-స్తుతించుడి--ఆ-ప్రభుండు
122,గొప్పా దేవుడవని శక్తి సంపన్నుడని గలమెత్తి నిన్ను నేను గాణమాడెదన్,in_library_fuzzy,706,Goppa Devudavani,0.933,https://waytochurch.com/lyrics/song/122/గొప్పా-దేవుడవని-శక్తి-సంపన్నుడని--గలమెత్తి-నిన్ను-నేను-గాణమాడెదన్
123,హల్లెలూయ యని పాడి స్తుతింపను రారె జనులారా మనసారా ఊరూర,in_library_exact,1219,Hallelooyaa Ani Paadi,,https://waytochurch.com/lyrics/song/123/హల్లెలూయ-యని-పాడి-స్తుతింపను--రారె-జనులారా-మనసారా-ఊరూర
124,హల్లేలూయ పాట యెసయ్య పాట,in_library_exact,1553,Hallelooya Paata,,https://waytochurch.com/lyrics/song/124/హల్లేలూయ-పాట--యెసయ్య-పాట
125,ఇదిగో దేవా నా జీవితం ఆపాద మస్తకం నీకంకితం,in_library_exact,1081,Idhigo Devaa Naa Jeevitham,,https://waytochurch.com/lyrics/song/125/ఇదిగో-దేవా-నా-జీవితం--ఆపాద-మస్తకం-నీకంకితం
126,వర్ణించలేని త్యాగం ఓదార్పు నొందని వైనం,missing,,,,https://waytochurch.com/lyrics/song/126/వర్ణించలేని-త్యాగం--ఓదార్పు-నొందని-వైనం
127,కన్నతల్లి చేర్చునట్లు నన్ను చేర్చు నా ప్రియుడు,in_library_exact,693,Kanna Thalli Cherchunatlu,,https://waytochurch.com/lyrics/song/127/కన్నతల్లి-చేర్చునట్లు--నన్ను-చేర్చు-నా-ప్రియుడు
128,క్రీస్తులో జీవించు నాకు ఎల్లాప్పుడు జయముండును,in_library_exact,52,Kreesthulo Jeevinchu Naaku,,https://waytochurch.com/lyrics/song/128/క్రీస్తులో-జీవించు-నాకు--ఎల్లాప్పుడు-జయముండును
